TEMP 2022;TEMP 2021;TEMP 2020;;;;;;;;;;;;;
24;24;20;;;;;;;;;;;;;
26;25;22;;;;;;;;;;;;;
25;25;21;;;;;;;;;;;;;
25;26;21;;;;;;;;;;;;;
25;26;20;;;;;;;;;;;;;
26;27;21;;;;;;;;;;;;;
25;26;22;;;;;;;;;;;;;
26;26;25;;;;;;;;;;;;;
25;27;26;;;;;;;;;;;;;
26;25;24;;;;;;;;;;;;;
24;25;22;;;;;;;;;;;;;
27;26;23;;;;;;;;;;;;;
26;26;25;;;;;;;;;;;;;
25;26;25;;;;;;;;;;;;;
26;25;25;;;;;;;;;;;;;
26;24;25;;;;;;;;;;;;;
27;24;26;;;;;;;;;;;;;
28;25;24;;;;;;;;;;;;;
29;22;24;;;;;;;;;;;;;
27;23;24;;;;;;;;;;;;;
27;25;25;;;;;;;;;;;;;
23;26;27;;;;;;;;;;;;;
24;26;22;;;;;;;;;;;;;
25;24;22;;;;;;;;;;;;;
25;26;24;;;;;;;;;;;;;
24;27;25;;;;;;;;;;;;;
25;26;24;;;;;;;;;;;;;
25;25;22;;;;;;;;;;;;;
26;23;23;;;;;;;;;;;;;
26;23;22;;;;;;;;;;;;;
27;22;23;;;;;;;;;;;;;
27;24;22;;;;;;;;;;;;;
27;26;22;;;;;;;;;;;;;
28;27;21;;;;;;;;;;;;;
28;26;23;;;;;;;;;;;;;
28;25;24;;;;;;;;;;;;;
29;25;25;;;;;;;;;;;;;
29;25;25;;;;;;;;;;;;;
29;26;25;;;;;;;;;;;;;
30;26;21;;;;;;;;;;;;;
28;25;24;;;;;;;;;;;;;
26;23;24;;;;;;;;;;;;;
27;24;26;;;;;;;;;;;;;
26;26;26;;;;;;;;;;;;;
25;27;27;;;;;;;;;;;;;
26;26;29;;;;;;;;;;;;;
27;24;29;;;;;;;;;;;;;
26;22;29;;;;;;;;;;;;;
27;24;27;;;;;;;;;;;;;
28;24;22;;;;;;;;;;;;;
28;24;20;;;;;;;;;;;;;
29;24;22;;;;;;;;;;;;;
25;25;25;;;;;;;;;;;;;
27;26;27;;;;;;;;;;;;;
27;25;28;;;;;;;;;;;;;
27;26;28;;;;;;;;;;;;;
26;28;28;;;;;;;;;;;;;
24;27;27;;;;;;;;;;;;;
22;28;27;;;;;;;;;;;;;
24;29;27;;;;;;;;;;;;;
25;28;23;;;;;;;;;;;;;
24;26;25;;;;;;;;;;;;;
25;24;26;;;;;;;;;;;;;
23;23;23;;;;;;;;;;;;;
23;24;22;;;;;;;;;;;;;
24;24;24;;;;;;;;;;;;;
25;25;25;;;;;;;;;;;;;
25;25;26;;;;;;;;;;;;;
24;22;27;;;;;;;;;;;;;
25;23;26;;;;;;;;;;;;;
26;22;24;;;;;;;;;;;;;
27;22;23;;;;;;;;;;;;;
25;19;23;;;;;;;;;;;;;
24;20;24;;;;;;;;;;;;;
25;19;24;;;;;;;;;;;;;
25;19;25;;;;;;;;;;;;;
22;20;22;;;;;;;;;;;;;
22;21;18;;;;;;;;;;;;;
22;21;20;;;;;;;;;;;;;
21;21;20;;;;;;;;;;;;;
23;21;21;;;;;;;;;;;;;
23;23;21;;;;;;;;;;;;;
24;23;22;;;;;;;;;;;;;
24;22;23;;;;;;;;;;;;;
23;22;22;;;;;;;;;;;;;
22;21;21;;;;;;;;;;;;;
22;20;22;;;;;;;;;;;;;
21;21;23;;;;;;;;;;;;;
22;22;24;;;;;;;;;;;;;
22;23;24;;;;;;;;;;;;;
24;23;25;;;;;;;;;;;;;
24;23;25;;;;;;;;;;;;;
21;21;25;;;;;;;;;;;;;
15;21;24;;;;;;;;;;;;;
16;21;25;;;;;;;;;;;;;
18;19;23;;;;;;;;;;;;;
17;19;20;;;;;;;;;;;;;
16;18;20;;;;;;;;;;;;;
15;18;21;;;;;;;;;;;;;
16;18;20;;;;;;;;;;;;;
17;19;20;;;;;;;;;;;;;
17;20;20;;;;;;;;;;;;;
17;20;20;;;;;;;;;;;;;
16;19;15;;;;;;;;;;;;;
15;21;13;;;;;;;;;;;;;
16;21;13;;;;;;;;;;;;;
16;19;14;;;;;;;;;;;;;
;17;16;;;;;;;;;;;;;
;17;17;;;;;;;;;;;;;
;19;18;;;;;;;;;;;;;
;21;18;;;;;;;;;;;;;
;21;17;;;;;;;;;;;;;
;17;16;;;;;;;;;;;;;
;15;15;;;;;;;;;;;;;
;16;15;;;;;;;;;;;;;
;14;15;;;;;;;;;;;;;
;12;15;;;;;;;;;;;;;
;13;15;;;;;;;;;;;;;
;12;11;;;;;;;;;;;;;
;13;12;;;;;;;;;;;;;
;12;11;;;;;;;;;;;;;
;11;11;;;;;;;;;;;;;
;13;10;;;;;;;;;;;;;
;13;12;;;;;;;;;;;;;
;12;11;;;;;;;;;;;;;
;13;12;;;;;;;;;;;;;
;13;12;;;;;;;;;;;;;
;14;11;;;;;;;;;;;;;
;14;11;;;;;;;;;;;;;
;14;12;;;;;;;;;;;;;
;12;12;;;;;;;;;;;;;
;11;15;;;;;;;;;;;;;
;11;15;;;;;;;;;;;;;
;12;16;;;;;;;;;;;;;
;12;14;;;;;;;;;;;;;
;11;12;;;;;;;;;;;;;
;11;11;;;;;;;;;;;;;
;11;11;;;;;;;;;;;;;
;16;10;;;;;;;;;;;;;
;12;10;;;;;;;;;;;;;
;12;12;;;;;;;;;;;;;
;13;13;;;;;;;;;;;;;
;11;14;;;;;;;;;;;;;
;11;14;;;;;;;;;;;;;
;10;12;;;;;;;;;;;;;
;10;12;;;;;;;;;;;;;
;10;10;;;;;;;;;;;;;
;11;11;;;;;;;;;;;;;
;12;10;;;;;;;;;;;;;
;11;9;;;;;;;;;;;;;
;11;9;;;;;;;;;;;;;
;13;9;;;;;;;;;;;;;
;12;10;;;;;;;;;;;;;
;11;10;;;;;;;;;;;;;
;11;10;;;;;;;;;;;;;
;11;10;;;;;;;;;;;;;
;9;9;;;;;;;;;;;;;
;7;7;;;;;;;;;;;;;
;7;10;;;;;;;;;;;;;
;10;6;;;;;;;;;;;;;
;9;4;;;;;;;;;;;;;
;6;5;;;;;;;;;;;;;
;6;7;;;;;;;;;;;;;
;8;5;;;;;;;;;;;;;
;9;4;;;;;;;;;;;;;
;7;4;;;;;;;;;;;;;
;5;6;;;;;;;;;;;;;
;4;6;;;;;;;;;;;;;
;5;4;;;;;;;;;;;;;
;6;3;;;;;;;;;;;;;
;6;3;;;;;;;;;;;;;
;4;4;;;;;;;;;;;;;
;5;7;;;;;;;;;;;;;
;5;13;;;;;;;;;;;;;
;3;11;;;;;;;;;;;;;
;3;6;;;;;;;;;;;;;
;5;6;;;;;;;;;;;;;
;5;7;;;;;;;;;;;;;
;5;6;;;;;;;;;;;;;
;3;5;;;;;;;;;;;;;
;4;6;;;;;;;;;;;;;
;4;5;;;;;;;;;;;;;
;6;4;;;;;;;;;;;;;
;6;5;;;;;;;;;;;;;
;3;5;;;;;;;;;;;;;
;3;6;;;;;;;;;;;;;
;0;7;;;;;;;;;;;;;
;4;7;;;;;;;;;;;;;
;5;8;;;;;;;;;;;;;
;4;9;;;;;;;;;;;;;
;2;8;;;;;;;;;;;;;
;3;8;;;;;;;;;;;;;
;5;8;;;;;;;;;;;;;
;6;7;;;;;;;;;;;;;
;6;5;;;;;;;;;;;;;
;7;2;;;;;;;;;;;;;
;6;3;;;;;;;;;;;;;
;4;4;;;;;;;;;;;;;
;3;4;;;;;;;;;;;;;
;;5;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
