ID,Date,Time,x,y
1,2020-03-08,Morning,693.2597849103327,1354.1036198819133
1,2020-03-08,Morning,624.4219267136585,3452.2487166085098
2,2020-03-09,Morning,938.3775802048682,449.33601645204277
2,2020-03-09,Morning,734.8918097829259,1104.7418502634782
2,2020-03-09,Morning,627.6826371418542,4602.383850701898
2,2020-03-09,Morning,678.3181717165749,4640.584897210662
2,2020-03-09,Morning,539.4678593780478,4619.4610548339415
3,2020-03-09,Morning,897.767983617518,3854.2942115078467
3,2020-03-09,Morning,842.7029695283946,1923.071510524264
3,2020-03-09,Morning,766.7928006083754,2476.7580614102553
3,2020-03-09,Morning,925.2533304017693,4140.445243053763
3,2020-03-09,Morning,708.4369882338361,4674.331720410212
3,2020-03-09,Morning,932.1282061440683,2375.2916783346177
4,2020-03-09,Noon,105.92111841190773,4019.93971973759
4,2020-03-09,Noon,188.00813976235904,4023.630505879261
4,2020-03-09,Noon,621.1030716226902,2233.4521773971296
4,2020-03-09,Noon,311.66479940060293,3034.076341338237
4,2020-03-09,Noon,877.9710561771219,2905.4649366253457
4,2020-03-09,Noon,625.4238469141056,1464.1022735509864
4,2020-03-09,Noon,146.66486462904382,3951.400732393344
4,2020-03-09,Noon,774.8587281773542,2144.4546768343102
4,2020-03-09,Noon,443.8810157951437,4152.960713645844
4,2020-03-09,Noon,930.5819068226491,2015.6131191659158
4,2020-03-09,Noon,874.7993368694521,2023.1949049539523
4,2020-03-09,Noon,937.4275543254788,3969.4519458619466
5,2020-03-10,Morning,940.9185603558622,413.28024029573226
5,2020-03-10,Morning,15.569390083985445,4467.438577480426
5,2020-03-10,Morning,851.8003981429841,277.8377410837934
5,2020-03-10,Morning,860.7384603148097,1079.9920571501648
5,2020-03-10,Morning,849.8575755852447,3432.8794194250568
5,2020-03-10,Morning,184.87473846707536,3209.063050636761
6,2020-03-13,Noon,618.7085938402932,2196.6857427394
6,2020-03-13,Noon,660.819089235553,1201.8979736573494
7,2020-03-14,Morning,540.6876326839052,647.0689956096958
7,2020-03-14,Morning,595.7914340186883,2653.9236350628844
8,2020-03-14,Evening,936.2625370406049,1509.1009730302735
8,2020-03-14,Evening,916.4736328134251,1477.7107334488396
8,2020-03-14,Evening,1107.5313885971384,1700.7257271933418
8,2020-03-14,Evening,1002.5454669811238,1656.0505754896162
8,2020-03-14,Evening,840.2127019365574,2956.877954718959
8,2020-03-14,Evening,751.3744261704902,2084.1421612351055
8,2020-03-14,Evening,157.9000465186306,4051.8125678796932
9,2020-03-15,Noon,554.1973866409155,675.7917536445029
9,2020-03-15,Noon,593.9295790667069,855.2991562735538
9,2020-03-15,Noon,592.8631704140136,2027.7200413297821
9,2020-03-15,Noon,818.1358748326049,1333.3415538620739
9,2020-03-15,Noon,674.2177029357351,800.2608964919624
9,2020-03-15,Noon,818.640608076018,1965.708366761447
10,2020-03-15,Noon,983.4999060057228,898.8004823765555
10,2020-03-15,Noon,784.6787286608107,1421.7327038087449
11,2020-03-15,Evening,844.8234527835772,680.1291723290029
11,2020-03-15,Evening,985.8466919100257,1522.1068750817824
11,2020-03-15,Evening,811.3340391724544,2779.652725726202
11,2020-03-15,Evening,1121.2845739728766,4748.055350573237
11,2020-03-15,Evening,478.5264167712124,3983.898019662868
11,2020-03-15,Evening,1079.0710340349265,3079.1586524945383
12,2020-03-16,Morning,860.1910077519334,211.16512550737767
12,2020-03-16,Morning,742.7634539565812,2098.4328862046705
12,2020-03-16,Morning,904.6605372239576,1304.556272239625
12,2020-03-16,Morning,865.8546806894823,1417.0329947340888
12,2020-03-16,Morning,847.0736938228721,2108.8152794003754
12,2020-03-16,Morning,943.8519765681438,1188.3470714135863
12,2020-03-16,Morning,661.9729316134215,3534.234588866646
12,2020-03-16,Morning,527.2524092728082,3515.2778590754306
13,2020-03-16,Noon,696.0714823120255,1012.6307426535216
13,2020-03-16,Noon,840.744287395136,2099.334890071736
13,2020-03-16,Noon,713.7587329536104,4482.00289850631
14,2020-03-18,Morning,398.61365009359463,3762.9689050100183
15,2020-03-21,Noon,803.8962191610327,1021.8220166612672
15,2020-03-21,Noon,708.3414300954829,3762.608152782942
16,2020-03-30,Noon,701.4373577039034,2914.4404821526628
16,2020-03-30,Noon,789.3954971094552,351.27579932699285
16,2020-03-30,Noon,922.6095402667423,1006.5730136070472
16,2020-03-30,Noon,686.4844217077002,481.00054116882313
16,2020-03-30,Noon,440.064912620652,4322.395591036394
17,2020-03-30,Evening,503.4205602653712,775.1684929981449
17,2020-03-30,Evening,737.233296279125,233.37706023698587
17,2020-03-30,Evening,652.4020593211769,922.4215615800294
17,2020-03-30,Evening,666.4853519678418,1960.8063566029753
17,2020-03-30,Evening,634.9717000143097,2143.4998575590403
17,2020-03-30,Evening,826.7764604013565,704.6135545893832
17,2020-03-30,Evening,839.0727064347528,1439.6894130513786
17,2020-03-30,Evening,757.4803386351776,3610.559741902312
18,2020-03-31,Noon,894.865526236279,3985.9099738837604
18,2020-03-31,Noon,812.9517634002973,1005.4261835525319
18,2020-03-31,Noon,980.607726319794,995.4818553050761
18,2020-03-31,Noon,966.2301972811041,1665.6782877149667
19,2020-03-31,Evening,975.6957960756513,1070.1575809898009
19,2020-03-31,Evening,1092.1474713913167,1027.0640837421631
19,2020-03-31,Evening,1118.8390475943966,1344.8614348647372
19,2020-03-31,Evening,1057.2046390066682,1979.3729370106091
20,2020-04-02,Noon,953.3799705701664,664.112616045881
20,2020-04-02,Noon,952.4095401815517,1104.5892528962158
20,2020-04-02,Noon,825.0718909147511,830.8340314412744
